"dis3l2GV_cKO_f3_10_ERCC_count.txt" "dis3l2GV_cKO_f3_11_ERCC_count.txt" "dis3l2GV_cKO_f3_12_ERCC_count.txt" "dis3l2GV_cKO_f3_13_ERCC_count.txt" "dis3l2GV_cKO_f3_14_ERCC_count.txt" "dis3l2GV_cKO_f3_9_ERCC_count.txt" "dis3l2GV_cKO_f4_17_ERCC_count.txt" "dis3l2GV_cKO_f4_18_ERCC_count.txt" "dis3l2GV_cKO_f4_19_ERCC_count.txt" "dis3l2GV_cKO_f4_20_ERCC_count.txt" "dis3l2GV_cKO_f4_23_ERCC_count.txt" "dis3l2GV_ctr_f1_1_ERCC_count.txt" "dis3l2GV_ctr_f1_2_ERCC_count.txt" "dis3l2GV_ctr_f1_3_ERCC_count.txt" "dis3l2GV_ctr_f1_4_ERCC_count.txt" "dis3l2GV_ctr_f2_6_ERCC_count.txt" "dis3l2GV_ctr_f2_7_ERCC_count.txt" "dis3l2GV_ctr_f2_8_ERCC_count.txt" "dis3l2MII_cKO_f7_33_ERCC_count.txt" "dis3l2MII_cKO_f7_34_ERCC_count.txt" "dis3l2MII_cKO_f7_37_ERCC_count.txt" "dis3l2MII_cKO_f8_38_ERCC_count.txt" "dis3l2MII_cKO_f8_39_ERCC_count.txt" "dis3l2MII_cKO_f8_40_ERCC_count.txt" "dis3l2MII_cKO_f9_44_ERCC_count.txt" "dis3l2MII_cKO_f9_45_ERCC_count.txt" "dis3l2MII_cKO_f9_46_ERCC_count.txt" "dis3l2MII_cKO_f9_47_ERCC_count.txt" "dis3l2MII_ctr_f5_25_ERCC_count.txt" "dis3l2MII_ctr_f5_26_ERCC_count.txt" "dis3l2MII_ctr_f5_27_ERCC_count.txt" "dis3l2MII_ctr_f5_28_ERCC_count.txt" "dis3l2MII_ctr_f6_29_ERCC_count.txt" "dis3l2MII_ctr_f6_30_ERCC_count.txt" "dis3l2MII_ctr_f6_31_ERCC_count.txt" "dis3l2MII_ctr_f6_32_ERCC_count.txt"
"ERCC-00150" 19 14 11 9 14 16 15 16 10 15 8 17 11 24 14 14 7 11 18 9 15 16 11 11 41 26 13 14 20 26 30 23 34 11 38 22
"ERCC-00154" 12 12 7 2 7 8 5 7 10 3 3 3 1 2 3 7 3 3 3 0 5 6 5 5 5 28 7 12 7 16 14 10 12 4 19 23
"ERCC-00156" 6 1 5 2 3 7 5 3 6 2 3 3 4 1 2 6 2 4 2 4 5 1 6 2 2 4 5 1 7 3 10 8 19 2 10 0
"ERCC-00157" 12 15 17 7 13 18 11 2 8 2 6 4 4 14 5 6 8 8 24 3 11 50 13 11 28 11 22 12 28 6 11 11 9 1 11 20
"ERCC-00158" 26 21 16 18 25 34 21 25 19 15 14 41 24 32 23 29 14 14 27 10 29 22 27 24 32 28 32 27 50 45 37 46 32 11 23 15
"ERCC-00160" 20 10 2 1 7 4 1 6 2 0 0 1 1 3 1 2 2 3 4 2 3 35 3 6 30 0 24 7 26 19 17 1 12 1 9 6
"ERCC-00162" 48 18 7 8 9 12 7 11 7 3 10 13 8 4 5 11 9 8 23 8 20 164 61 40 154 64 31 33 198 81 95 45 190 17 173 156
"ERCC-00163" 22 8 4 5 7 4 8 3 7 5 5 3 2 5 1 3 3 3 9 3 4 20 6 26 5 32 14 20 28 17 14 21 62 3 3 41
"ERCC-00164" 6 12 4 7 2 9 10 7 8 7 4 7 6 0 6 5 1 5 6 3 0 3 2 5 8 6 4 10 9 3 1 7 27 4 7 12
"ERCC-00165" 23 33 14 15 10 32 22 30 21 7 5 18 13 8 6 12 5 8 31 22 34 204 37 70 33 96 13 88 82 63 61 31 117 11 160 81
"ERCC-00168" 20 14 4 10 10 11 11 17 15 7 5 15 9 12 9 6 14 8 12 13 11 4 13 6 7 9 7 10 14 12 26 19 22 7 7 5
"ERCC-00170" 10 8 5 5 7 8 11 10 5 6 4 10 8 12 3 7 6 5 19 3 9 13 13 12 43 25 4 17 27 22 60 16 20 8 29 45
"ERCC-00171" 1862 604 247 314 460 693 375 427 610 290 290 743 395 257 158 234 103 166 1839 516 1902 7258 2391 2655 4352 3083 1082 2100 6778 5358 4412 1833 7568 692 6629 6854
