,gene_id,log2FC_rM,padj_rM,log2FC_pA,padj_pA,rM_minus_pA
57,ENSMUSG00000000416,2.72706486433389,1.9092668336236603e-17,1.3747450670403,3.20359846475412e-05,1.35231979729359
58,ENSMUSG00000000420,0.569790463990777,0.0155813662281493,-0.709690558191485,0.0254772282279011,1.279481022182262
59,ENSMUSG00000000435,7.120512316021791,2.23994793930193e-09,0.9479784242505379,,6.172533891771253
60,ENSMUSG00000000439,0.599963557737593,0.0010256715483025801,-0.34666838954413803,0.151432945686533,0.9466319472817311
61,ENSMUSG00000000440,-0.9777112023374929,4.27977086503824e-06,-1.3700251768021598,0.00493706614153631,0.392313974464667
62,ENSMUSG00000000441,0.154733482382581,0.5066077487672079,-0.8138297733955442,0.00775321120619559,0.9685632557781252
63,ENSMUSG00000000486,1.9849396694771102,4.3352156888157e-05,0.468967227701202,0.5743904104479239,1.5159724417759082
64,ENSMUSG00000000489,-0.47570757485343107,0.140307841419305,-1.9226052300345502,0.000141791949231618,1.446897655181119
65,ENSMUSG00000000530,1.71351171810697,0.0924269406176637,0.168791743209776,0.95252195288858,1.5447199748971938
66,ENSMUSG00000000531,-2.1760359146251598,2.0302151738964e-06,-1.939036610661,0.018149041613061,-0.2369993039641598
67,ENSMUSG00000000532,1.21968900809275,3.0486902409184898e-09,-0.21417905666760698,0.5890853561046271,1.433868064760357
68,ENSMUSG00000000538,0.643271231947131,0.0110904889153859,-0.532340834107474,0.0235858605172307,1.175612066054605
69,ENSMUSG00000000544,-1.31158114075777,0.0149508537141556,-1.27282361732641,0.0753642998446142,-0.038757523431359964
70,ENSMUSG00000000552,-0.208726011771686,0.482130340315886,-1.00951001540184,0.00137104189820165,0.8007840036301539
71,ENSMUSG00000000555,4.494731553745839,4.1090199872732294e-11,1.9127371161354398,0.00401559530268263,2.5819944376103994
72,ENSMUSG00000000560,4.56646034871941,1.4743110631430803e-08,5.26314652652469,3.20359846475412e-05,-0.6966861778052804
