"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000113688",0.925828126369412,-0.940993507093248,2.05955932240463,-0.456890703198875,0.647749606570188,NA
"ENSMUSG00000113691",8.11001405953579,5.26492735060464,0.998415003637246,5.27328548892435,1.3400286185838e-07,3.74230214543137e-06
"ENSMUSG00000113696",1.23901145187571,-0.4128536362853,1.74323668896892,-0.23683165854517,0.812787390160987,NA
"ENSMUSG00000113712",1.32344826235652,-3.69171559885999,1.48725864701666,-2.48222836442425,0.0130563570990507,NA
"ENSMUSG00000113714",0.486118976174703,-2.30538501561329,2.8260584082695,-0.815759861461944,0.414637494256605,NA
"ENSMUSG00000113718",0.982080703869521,2.40045337846884,2.1046100158718,1.14056920777054,0.254049237236207,NA
"ENSMUSG00000113722",36.897599820491,-0.485457108005994,0.325865710310383,-1.48974590650732,0.136291059126587,0.256797165989834
"ENSMUSG00000113728",2.19414923908621,2.56618785403051,1.10266757677379,2.327254295024,0.0199517347898484,0.0608341868298111
"ENSMUSG00000113737",1.19729863764745,-0.638880248538342,1.7516822271587,-0.364723828690453,0.715317569406499,NA
"ENSMUSG00000113738",2.23302295634502,-0.261250215988884,1.07922873733043,-0.242071218966157,0.808724979001447,0.881883613700989
"ENSMUSG00000113739",32.2447522833748,-0.875943791208227,0.4658302196354,-1.88039280039371,0.0600545640460768,0.139646348872678
"ENSMUSG00000113743",2.57385206766245,0.66305377522355,1.04811147600338,0.632617608340555,0.526983385519024,0.667800452414806
"ENSMUSG00000113750",1.27601427526944,1.13402505163788,1.44639524816247,0.784035382499059,0.433019349143461,NA
"ENSMUSG00000113758",32.4343100324386,0.203279684249404,0.4952755769227,0.410437529571807,0.681485020693393,0.791135237038242
"ENSMUSG00000113769",0.298742256573514,-2.63313285535019,4.27226680796379,-0.616331557392871,0.537675715119597,NA
"ENSMUSG00000113770",7.18563110886597,3.1192096385287,1.05522291516635,2.95597223458419,0.00311685148082108,0.0143999393517221
"ENSMUSG00000113771",1.62804520593597,1.40718109978087,1.29416949095991,1.0873236539807,0.276893798456281,NA
"ENSMUSG00000113772",118.772399913742,-0.720293901151412,0.410281090668148,-1.75561076913977,0.0791548921433677,0.171888664242923
"ENSMUSG00000113774",2.72594800089378,-0.975130424237897,0.694324388135507,-1.40443061039012,0.160190661038383,0.288823418831517
"ENSMUSG00000113784",0.748810514165934,1.93872686000093,2.64271939597171,0.733610561513313,0.463186122176108,NA
"ENSMUSG00000113793",2.22763531712723,-1.45215661950413,1.02897418539614,-1.41126632729379,0.158166099292095,0.285723783745858
"ENSMUSG00000113796",10.3643998160978,1.29815375340425,0.66568201240714,1.95011090762399,0.0511629014581333,0.124004499216316
"ENSMUSG00000113798",6.35966028215803,1.07264396109674,0.766716773853697,1.39900938348509,0.161810169217494,0.290931519217905
"ENSMUSG00000113799",3.89183022562421,0.105352763993158,1.00324280284079,0.105012230035282,0.916366104214338,0.949578807148449
"ENSMUSG00000113813",0.705754583479903,-3.37518820991667,2.60336572363445,-1.29647101798848,0.194813258685105,NA
"ENSMUSG00000113816",1.12047806294721,-0.585372376953026,1.09990816267438,-0.532201138983928,0.59458669419622,NA
"ENSMUSG00000113817",5.9219570239519,-0.607567686185441,0.722493222698362,-0.840932021363886,0.40038601826187,0.554846983832281
"ENSMUSG00000113835",33.2548705712179,-0.179598369097288,0.507985250826994,-0.353550361560505,0.723675880223829,0.822148136205174
"ENSMUSG00000113836",5.3187696523866,1.94738216354191,1.03017759607939,1.89033635652065,0.0587129893226883,0.13734223367052
"ENSMUSG00000113848",3.4207512419119,-0.370845315670065,0.833486569005803,-0.444932563355419,0.656368489234912,0.772468052185053
"ENSMUSG00000113853",8.21863608075057,-1.17058698236423,0.806216631321111,-1.45195092347083,0.146515251605502,0.27079198209493
"ENSMUSG00000113854",4.49262752251719,-0.353743542603519,0.865964400242763,-0.408496633931316,0.68290910128709,0.791983079472622
"ENSMUSG00000113856",15.795488483024,-0.0919889034783098,0.527061706289534,-0.174531563155865,0.861447727602003,0.916526392015273
"ENSMUSG00000113863",2.91575654778706,1.28989857574875,0.853873577947932,1.51064350632407,0.130879303068796,0.249444137705408
"ENSMUSG00000113867",11.1858989153081,-0.930921920368304,0.657379345112718,-1.41611069360368,0.15674309766058,0.283914570786723
"ENSMUSG00000113869",1.67428843512848,0.336730505768962,2.07529562865285,0.162256644846087,0.871103754591056,NA
"ENSMUSG00000113875",1.75190161070314,0.91437825966146,1.20831040918849,0.756741192253376,0.449204931055948,0.59999849933732
"ENSMUSG00000113883",7.73591159382251,-0.819236776159723,0.551256774805965,-1.48612554729705,0.137245916016619,0.258117718547893
"ENSMUSG00000113902",870.110010752425,-0.606046668431642,0.273028202246268,-2.21972185820202,0.0264376541344366,0.0751155889360406
"ENSMUSG00000113905",1.58568055932669,2.59981776615,1.2185413006871,2.13354915806632,0.032879703590778,NA
"ENSMUSG00000113911",1.34140506169824,-0.860267067997697,1.23645272558317,-0.695754111902622,0.486582831311043,NA
"ENSMUSG00000113914",5.40785363293504,0.207274272053815,0.814273401537731,0.254551200693015,0.79906975391829,0.875038018987124
"ENSMUSG00000113920",0.911414899740056,2.49966371079051,2.04068473061808,1.2249142032015,0.220607548397781,NA
