"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000105338" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105339" 54 34 87 50 26 14 40 64 19 17 22 5 16 20 37 25
"ENSMUSG00000105340" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105341" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105342" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105343" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105344" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105345" 0 0 0 0 2 0 0 0 0 0 0 0 0 10 0 0
"ENSMUSG00000105346" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105347" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105348" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105349" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105350" 37 33 47 48 54 47 52 76 11 18 17 38 28 13 16 21
"ENSMUSG00000105351" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105352" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ENSMUSG00000105353" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105355" 37 11 29 35 43 30 45 18 20 30 27 45 57 36 14 48
"ENSMUSG00000105356" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105357" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"ENSMUSG00000105358" 6 18 19 18 17 21 6 22 3 0 0 0 10 0 0 0
"ENSMUSG00000105359" 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 4
"ENSMUSG00000105360" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105362" 81 86 57 39 54 39 40 69 71 58 48 40 41 32 62 75
"ENSMUSG00000105363" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105364" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105365" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105366" 7 10 76 9 2 11 32 28 0 3 0 0 0 0 0 5
"ENSMUSG00000105367" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105368" 0 0 0 0 3 5 0 3 6 0 0 0 0 0 0 0
"ENSMUSG00000105369" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105370" 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0
"ENSMUSG00000105371" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105372" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105373" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105374" 0 4 3 4 3 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105375" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105376" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105377" 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 4
"ENSMUSG00000105378" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3
"ENSMUSG00000105379" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105380" 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"ENSMUSG00000105381" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105382" 0 13 3 0 0 0 0 0 0 0 0 0 0 0 0 3
"ENSMUSG00000105384" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105385" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105386" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105387" 1 0 0 0 0 0 0 0 0 6 0 9 0 0 0 0
"ENSMUSG00000105388" 0 0 0 1 0 0 0 0 0 2 2 0 1 0 0 0
"ENSMUSG00000105389" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105390" 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0
"ENSMUSG00000105391" 0 0 1 0 1 8 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000105392" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105393" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105394" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105395" 1 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
"ENSMUSG00000105396" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105397" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"ENSMUSG00000105398" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105399" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105400" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105401" 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105402" 0 7 19 16 21 2 2 0 0 3 0 0 22 9 1 0
"ENSMUSG00000105403" 0 0 5 4 2 0 3 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105404" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105405" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105406" 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1
"ENSMUSG00000105407" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105408" 9 9 6 6 8 1 9 5 4 5 0 0 1 1 1 2
"ENSMUSG00000105409" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105410" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105411" 0 1 0 0 0 1 0 5 0 3 0 0 0 0 0 2
"ENSMUSG00000105412" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105413" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105415" 8 7 3 1 0 6 0 3 6 2 9 8 18 7 3 10
"ENSMUSG00000105416" 80 161 96 219 102 68 104 78 323 323 519 337 365 276 263 157
"ENSMUSG00000105418" 0 1 2 9 17 10 11 2 0 2 2 13 0 0 0 0
"ENSMUSG00000105419" 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105420" 0 18 5 0 4 0 0 3 1 0 0 0 0 0 0 6
"ENSMUSG00000105421" 1 2 9 24 19 6 16 19 0 0 0 0 0 0 0 0
"ENSMUSG00000105422" 18 20 11 22 22 26 1 8 7 5 1 8 22 41 3 2
"ENSMUSG00000105423" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105424" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105425" 0 7 0 0 4 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000105426" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105427" 61 102 69 46 71 44 34 55 14 25 74 45 95 93 72 43
"ENSMUSG00000105428" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105429" 0 0 0 0 0 0 0 1 0 0 1 0 5 0 0 0
"ENSMUSG00000105430" 0 0 0 1 0 0 5 0 0 3 0 0 0 0 0 1
"ENSMUSG00000105431" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105432" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105433" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105434" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105435" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105436" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105437" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105438" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105439" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105440" 72 77 78 83 13 0 66 9 43 18 26 35 24 5 19 36
"ENSMUSG00000105441" 0 0 0 0 0 0 1 0 0 0 0 3 0 1 0 1
"ENSMUSG00000105442" 0 0 0 4 0 0 0 0 0 0 4 0 0 0 0 0
"ENSMUSG00000105443" 1 2 9 19 0 5 14 5 10 0 0 6 6 0 9 0
"ENSMUSG00000105444" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105445" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105446" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105447" 13 23 25 8 33 10 23 27 13 4 20 5 6 1 1 4
"ENSMUSG00000105448" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105449" 13 35 23 38 38 16 35 22 0 4 5 0 0 3 2 15
"ENSMUSG00000105450" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105451" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105452" 1 4 0 0 2 0 1 2 0 0 1 2 3 1 0 0
"ENSMUSG00000105453" 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105454" 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000105455" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105456" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105457" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000105458" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105459" 0 1 0 12 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105460" 0 0 0 0 0 2 0 0 0 0 0 9 0 0 0 0
"ENSMUSG00000105461" 2 14 16 2 23 19 22 21 33 17 28 34 37 13 18 9
"ENSMUSG00000105462" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105463" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105464" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105465" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105466" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105467" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105468" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105469" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105470" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105471" 15 20 26 17 6 33 42 34 12 9 7 8 26 16 2 9
"ENSMUSG00000105472" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105473" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105474" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105475" 19 3 49 20 6 24 24 21 3 2 2 0 16 7 28 1
"ENSMUSG00000105476" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105477" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105478" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105479" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105480" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105481" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105482" 63 46 136 64 94 88 56 96 19 32 28 13 23 13 16 26
"ENSMUSG00000105483" 0 7 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105484" 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"ENSMUSG00000105485" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105486" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105487" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105488" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105489" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105490" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105491" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSMUSG00000105492" 0 2 0 0 0 0 0 8 0 0 0 0 0 0 0 0
"ENSMUSG00000105493" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105494" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105495" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105496" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105497" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105498" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105499" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105500" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105501" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105502" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105503" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105504" 42 22 14 31 44 47 13 27 32 18 44 29 26 41 36 38
"ENSMUSG00000105505" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105506" 0 2 0 4 1 3 0 0 0 0 2 0 0 0 0 0
"ENSMUSG00000105507" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105508" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105509" 3 52 56 4 36 63 50 25 13 120 2 11 58 15 10 63
"ENSMUSG00000105510" 0 3 1 1 0 0 0 1 0 2 0 1 3 4 3 0
"ENSMUSG00000105511" 0 0 0 0 0 1 0 2 0 0 3 3 1 0 0 0
"ENSMUSG00000105512" 16 1 10 11 14 2 0 13 1 3 2 0 4 0 7 4
"ENSMUSG00000105513" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105514" 0 0 4 0 0 0 0 4 8 0 0 0 0 0 0 0
"ENSMUSG00000105515" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105516" 9 13 0 16 8 1 9 3 10 0 2 6 12 2 0 10
"ENSMUSG00000105517" 6 5 16 12 1 2 1 13 12 1 13 3 3 14 16 19
"ENSMUSG00000105518" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105519" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105520" 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105521" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105522" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105523" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105524" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105525" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105526" 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105527" 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105528" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105529" 1 4 5 3 2 0 1 0 7 3 2 11 2 3 3 1
"ENSMUSG00000105530" 0 9 0 0 0 0 0 5 0 0 0 10 0 0 0 0
"ENSMUSG00000105531" 9 32 13 8 7 6 5 6 1 5 4 1 5 23 12 0
"ENSMUSG00000105532" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105533" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105534" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105535" 11 14 13 25 21 17 7 33 0 0 0 0 0 0 0 0
"ENSMUSG00000105536" 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105537" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105538" 0 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0
"ENSMUSG00000105539" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105540" 4 3 5 1 3 5 9 2 4 7 1 4 3 8 4 3
"ENSMUSG00000105541" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105542" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000105543" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105544" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105545" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105546" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105547" 79 65 41 101 71 78 28 54 131 102 107 135 293 238 142 99
"ENSMUSG00000105548" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105549" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105550" 33 1 35 23 19 19 38 13 9 0 0 0 0 0 0 0
"ENSMUSG00000105551" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105552" 25 11 12 1 15 13 9 6 47 20 17 25 26 10 14 36
"ENSMUSG00000105553" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105554" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105555" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105556" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ENSMUSG00000105557" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105558" 6 11 9 0 0 1 0 0 10 8 20 19 33 3 58 37
"ENSMUSG00000105559" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105560" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105561" 0 1 0 4 1 8 1 1 0 0 0 0 0 0 0 2
"ENSMUSG00000105562" 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000105563" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105564" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105565" 0 1 10 4 2 7 0 12 1 9 14 18 3 7 10 1
"ENSMUSG00000105566" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105567" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105568" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105569" 2 1 4 2 6 0 3 2 0 0 0 0 0 0 0 0
"ENSMUSG00000105570" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105571" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSMUSG00000105572" 0 39 22 0 0 0 0 2 0 0 0 0 1 0 0 1
"ENSMUSG00000105573" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105574" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000105575" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105576" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105577" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105578" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105579" 2 15 9 6 2 1 14 1 1 6 0 0 0 11 0 0
"ENSMUSG00000105580" 0 0 9 1 0 0 0 0 0 0 3 0 0 0 0 0
"ENSMUSG00000105581" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105582" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105583" 0 0 1 2 0 0 0 2 0 0 0 0 0 0 0 2
"ENSMUSG00000105584" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105585" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105586" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105588" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105589" 1880 2364 2409 2323 2081 1889 2066 1634 2725 2511 2469 2279 3331 3056 2597 2234
"ENSMUSG00000105590" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105591" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105592" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000105593" 413 275 586 326 350 289 416 338 562 431 494 571 800 656 649 491
"ENSMUSG00000105594" 0 0 6 0 5 0 0 7 31 9 14 9 40 21 19 39
"ENSMUSG00000105595" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105596" 26 44 30 41 42 64 79 60 164 72 160 209 181 214 128 56
"ENSMUSG00000105597" 0 0 16 0 0 0 0 8 0 0 0 5 0 0 0 0
"ENSMUSG00000105598" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105599" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105600" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105601" 16 2 6 2 11 1 9 12 0 0 0 0 0 0 1 0
"ENSMUSG00000105602" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105603" 217 258 206 287 309 257 235 367 176 162 176 152 390 177 105 153
"ENSMUSG00000105604" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105605" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105606" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105607" 2 0 0 0 1 0 0 1 2 0 6 1 29 0 1 1
"ENSMUSG00000105608" 3 3 0 0 0 2 0 0 0 0 0 0 0 0 0 2
"ENSMUSG00000105609" 73 63 37 38 40 38 62 36 4 0 3 0 1 0 3 7
"ENSMUSG00000105610" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105611" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3
"ENSMUSG00000105612" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105613" 4 0 0 3 0 0 1 1 0 13 0 0 0 0 3 0
"ENSMUSG00000105614" 0 0 5 9 11 4 19 17 0 0 0 0 0 0 0 0
"ENSMUSG00000105615" 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0
"ENSMUSG00000105616" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000105617" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105618" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105619" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105620" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105621" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105622" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105624" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105625" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105626" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105627" 2 0 24 4 12 0 5 4 1 0 0 0 0 0 0 0
"ENSMUSG00000105628" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105629" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105630" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000105632" 0 10 0 0 0 0 0 2 0 0 0 0 0 0 0 0
