"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000000751" 5268 4750 5982 5170 5616 5821 5168 5040 5460 3868 4538 5110 6039 4343 5092 5078
"ENSMUSG00000000753" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"ENSMUSG00000000759" 328 409 600 517 505 567 409 601 219 82 149 98 179 158 114 192
"ENSMUSG00000000766" 7 17 11 5 13 6 9 17 52 8 15 35 33 18 21 19
"ENSMUSG00000000776" 1009 1107 1319 1229 1063 1175 1226 929 333 264 318 346 468 389 423 364
"ENSMUSG00000000782" 3135 3167 3146 3236 3142 3008 3282 2556 1676 1619 2432 2082 2469 1657 1000 1157
"ENSMUSG00000000787" 17851 21202 18719 17179 18863 19977 20758 16053 25140 17915 25823 26972 31927 23671 24686 20623
"ENSMUSG00000000791" 0 0 0 0 2 0 1 1 0 0 0 0 0 2 0 0
"ENSMUSG00000000792" 41 41 61 40 147 51 82 81 29 30 31 84 99 49 68 85
"ENSMUSG00000000794" 373 170 1585 353 640 24 503 1165 16 11 28 33 37 37 18 19
"ENSMUSG00000000804" 3804 3451 4689 3529 4014 4181 3380 3534 3051 1897 2443 2735 3465 2708 2844 2731
"ENSMUSG00000000805" 0 0 2 1 0 3 1 2 0 6 10 5 1 12 1 1
"ENSMUSG00000000811" 1219 843 946 912 1115 1341 981 855 1368 1205 1339 1472 1581 1091 1373 1112
"ENSMUSG00000000817" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
